34.143175,-118.127504,99
34.143156,-118.127496,99
34.142975,-118.127806,8
34.142538,-118.128154,3
34.141056,-118.128245,5
34.138714,-118.126048,12
34.138714,-118.126048,10
34.138714,-118.126048,14
34.144388,-118.120717,14
34.144388,-118.120717,9
34.144388,-118.120717,6
34.141080,-118.126263,5
34.143117,-118.127504,99
34.143175,-118.127503,99
34.143018,-118.127298,3
34.143018,-118.127298,6
34.142788,-118.126773,3
34.143600,-118.125871,1
34.146037,-118.125414,1
34.145872,-118.125656,1
34.145829,-118.125140,1
34.145872,-118.125656,1
34.143545,-118.126059,2
34.142901,-118.127015,3
34.143186,-118.127528,99
